219.000,0.001
233.000,0.067
229.000,0.128
211.000,0.188
146.000,0.251
206.000,0.327
176.000,0.387
276.000,0.447
249.000,0.517
168.000,0.568
171.000,0.628
137.000,0.688
77.000,0.751
129.000,0.827
222.000,0.878
101.000,0.938
196.000,1.001
175.000,1.063
159.000,1.127
183.000,1.197
221.000,1.259
191.000,1.337
221.000,1.398
161.000,1.459
189.000,1.509
178.000,1.569
210.000,1.628
183.000,1.698
214.000,1.758
132.000,1.813
353.000,1.878
292.000,1.938
181.000,2.001
69.000,2.077
194.000,2.128
124.000,2.188
191.000,2.251
130.000,2.313
202.000,2.376
211.000,2.449
195.000,2.517
52.000,2.578
260.000,2.639
157.000,2.688
175.000,2.767
244.000,2.827
228.000,2.887
147.000,2.947
